HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITTYPE_ID_level1,Input.WORKER_ID_level1,Input.Dialogueacts_level1,Input.slot0,Input.slot1,Answer.change,Answer.comments,Answer.joking_sarcastic,Answer.more_detail,Answer.sympathetic,Approve,Reject
309D674SHZ66LSKRVWW4L5W4GW2BC9,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3QECW5O0KINO4D3N6A5JVDS2KMMT5L,A2YE2I9DYV9OKW,Approved,Fri Jun 02 19:05:55 PDT 2017,Fri Jun 02 19:17:40 PDT 2017,Sat Jun 17 19:17:40 PDT 2017,Sun Jun 11 21:16:58 PDT 2017,,,705,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A31NREVPH2XDCO,Answer.positive,Let's talk about politics.,"Yikes-- maybe politics in history, instead of current politics.","When I think about history I don't really think about politics much, I tend to think about the wars. I saw this really cool show about D-Day the other day.",NA,"Hey, if everybody thought that way then only freaks and weirdos would deal with politics. Wait, maybe that explains some things.","We say that politics is pretty bitter nowadays, but have you ever looked at the kinds of things people said about each other in the post-Revolutionary era?",What do you think it is about politics that makes it so stressful to talk about?,,
3FO95NVK5CL98GQCOF8U0P5QKLRSRX,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3FE2ERCCZYUCKVGYU8SYZ9RWCD3OPB,A1YI99FRUDX2M7,Approved,Fri Jun 02 16:40:07 PDT 2017,Fri Jun 02 16:42:50 PDT 2017,Sat Jun 17 16:42:50 PDT 2017,Sun Jun 11 21:16:58 PDT 2017,,,163,100% (9/9),100% (9/9),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A31NREVPH2XDCO,Answer.rhetorical,Let's talk about politics.,I began to dislike talking politics with friends as early as Grade 7.,Did you go to school with very politically minded students?  7th graders nowadays seem so much more aware of the world.,,7th grade can be rife with political turmoil.  Especially when it comes to student council elections!,Talking politics can be a sure way to ruin a friendship or get into a heated argument very quickly.,You must have been a very intelligent 7th grader.  Some people don't learn to be discreet about politics until much later in life.,,
3XDSWAMB22DTPYMGEETUGUR32W3QC0,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3Y4W8Q93L06YLIM5QBNHU74FURVDVU,AMDPJ713Z3IJL,Approved,Sat Jun 03 10:56:39 PDT 2017,Sat Jun 03 11:01:00 PDT 2017,Sun Jun 18 11:01:00 PDT 2017,Sun Jun 11 21:16:58 PDT 2017,,,261,100% (1/1),100% (1/1),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3DSAIFZ7KJPO1,Answer.TalkMore,Let's talk about fashion.,A lot of the clothes and accessories we buy are made by children in sweatshops.,"I wonder if their parents know where their children are, or if the even care.",,Perhaps we need to start a child labor union making sure they at least get a recess.,The children have to work long hours with little to no pay in horrible conditions.,The children barely have enough to eat and I don't think they get to sleep but 3 hours a night.,,
3ZFRE2BDQ9ZQ6OY2S68UL0OH8HCXZ3,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,36U2A8VAG2LN3INKN3WO5J3ZWDYYKX,A4HBWAVHBH9OJ,Approved,Fri Jun 02 16:41:56 PDT 2017,Fri Jun 02 16:47:12 PDT 2017,Sat Jun 17 16:47:12 PDT 2017,Sun Jun 11 21:16:59 PDT 2017,,,316,100% (2/2),100% (1/1),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3DSAIFZ7KJPO1,Answer.negative,Let's talk about fashion.,Fashonista hipsters are just people in skinny jeans drinking Pabst beer.,So I'm not really into fashionista hipsters much either.  But what about that new kink of cargo shorts that Target is carrying?  Do you like those?,,What if the fashionista hipster was drinking Coors beer.  Would that make a difference?,Do you think that about all fashionista hipsters?  Male and female?,Wow.  Sounds like you don't have a very high regard for people who are really into fashion.,,
3FK4G712NXLL9VQP348ZQZAM6NASSL,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3MD9PLUKKJ0OGEISG2QNBIT5W60NZJ,A1WML1ZP2ISAR7,Approved,Sat Jun 03 09:23:28 PDT 2017,Sat Jun 03 09:27:38 PDT 2017,Sun Jun 18 09:27:38 PDT 2017,2017-06-18 16:28:23 UTC,,,250,100% (13/13),100% (13/13),100% (1/1),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3DSAIFZ7KJPO1,Answer.positive,Let's talk about fashion.,"I think fashion trends are set by the industry, not as a creative outlet, but as a way to earn a profit from the masses.",,,,,,,
3ABAOCJ4R8P6YKY7R3N8JQWFWA7MQE,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,3EWIJTFFVPTNKNZPJ9ACFWWA03RE0W,A1YI99FRUDX2M7,Approved,Fri Jun 02 16:46:10 PDT 2017,Fri Jun 02 16:48:41 PDT 2017,Sat Jun 17 16:48:41 PDT 2017,Sun Jun 11 21:17:00 PDT 2017,,,151,100% (9/9),100% (9/9),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A3DSAIFZ7KJPO1,Answer.rhetorical,Let's talk about fashion.,"I loved to follow trends when I was a teenager.  I paid $150 for a super fashionable outfit, with flare leg jeans and a funky printed shirt; when I came home from college, my mom pulled an almost identical outfit out from her trunk of clothes she wore.",And where are those clothes now?  I hope you are saving them for your children in the future.  They'll love it.,,"I don't know if it was a good look then, or a good look now.  But you could pull it off.","I love how fashion cycles repeat.  It seems as if every 20 or 30 years, we're wearing what our parents wore.",Your mom sounds super stylish.  And you are following in her foot steps.  You can go shopping in her closet.,,
3PUV2Q8SV4PGQKQ5VSRF5BEM1WEBD9,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,39OWYR0EPLDCNWV6MS5RP6BUOK3FY4,A3VOG7TQCAYWAJ,Approved,Sat Jun 03 02:29:50 PDT 2017,Sat Jun 03 03:04:26 PDT 2017,Sun Jun 18 03:04:26 PDT 2017,Sun Jun 11 21:16:59 PDT 2017,,,2076,100% (1/1),100% (1/1),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.TalkMore,Let's talk about fashion.,Fashion keeps changing because the designers need to convince people they need to buy the latest looks so the designers can keep charging outrageous amounts for them,"What I really love about fashion is the underground designers.  Those actual artists that make high quality, beautiful items, that a normal person could afford.  You can usually find gorgeous outfits at the smaller boutiques.  I really prefer to shop at those quaint local establishments.",Make the boxes where we type our responses have the ability to scroll so we can read everything we've written.,"Although, how on EARTH would all of these C list, reality show ""models"" possibly be able to make a living if they didn't have designers fawning all over them to ""oh please wear this $599 rag skirt""?!?!  It's truly a disgusting age that we live in these days!","Oh, I completely know exactly what you're talking about.  All of this ""evolving"" of fashion at ridiculous prices is beyond annoying. The designers are always shoving some B lister down our throats in hopes that we'll feel bad enough about ourselves that we'll just go pay anything to ""look"" better.","I just feel so bad for some of these people out there that are made to feel bad about themselves simply because they can't afford the newest Coach hobo bag.  Or that some poor people actually will spend their entire tax refund checks on the newest fashion & most expensive shoes instead of taking care of needs.  No one in the fashion industry, especially the designers, even cares.  Otherwise their clothing wouldn't cost $200 for a pair of jeans.",,
3OB6JN3A9QA6ALD74IC8OG6KSW9MRF,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:53 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:53 PDT 2017,,,36WLNQG780WO4A2ZHP71ZDSTRBDEBF,A2L7S6RZOZ6NM9,Approved,Sat Jun 03 09:08:04 PDT 2017,Sat Jun 03 09:11:39 PDT 2017,Sun Jun 18 09:11:39 PDT 2017,Sun Jun 11 21:16:59 PDT 2017,,,215,100% (128/128),100% (128/128),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.negative,Let's talk about fashion.,You know the old joke about fashion.  If you don't like this season's designs wait about 15 minutes and you will have something new to waste your money on,I like to shop in a way that gets me in and out of stores. I usually do not like to stay long.,,"Yea, I prefer to wait about 20 minutes usually. I feel like thats when the deals come out.","Yea, seems like these companies put out something new just about every other day. We find ways to buy the stuff too so I can't really complain.","Yea, people will really buy anything these days. It's a shame that people are so willing to waste so much money.",,
3ZTE0JGGCEDQ4M90Z11QRPW3NVLOCQ,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:54 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:54 PDT 2017,,,3RANCT1ZVG35T6ZL7PM63VEWDVXBUB,A2YE2I9DYV9OKW,Approved,Fri Jun 02 18:41:22 PDT 2017,Fri Jun 02 18:47:16 PDT 2017,Sat Jun 17 18:47:16 PDT 2017,Sun Jun 11 21:17:00 PDT 2017,,,354,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.positive,Let's talk about fashion.,I don't pay much attention to the latest fashion trends,"Well, a trend I am following is a lot of the garment industry moving overseas. It makes me uncomfortable thinking about so many people working in sweatshops.",NA,"I don't follow the trends, the trends follow me. I'm basically a style icon.","I didn't use to, but I got sucked into it when I started watching Project Runway.","I don't really follow the trends, I like the classics. If something looks good it looks good, it doesn't matter what some magazine says.",,
3OEWW2KGQJW09EFEZXW1BVEL8VXODQ,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:54 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:54 PDT 2017,,,3SKEMFQBZ4R8OCW2AZYU66FX32PK87,A2YE2I9DYV9OKW,Approved,Sat Jun 03 09:54:01 PDT 2017,Sat Jun 03 09:58:47 PDT 2017,Sun Jun 18 09:58:47 PDT 2017,Sun Jun 11 21:16:59 PDT 2017,,,286,100% (145/145),100% (110/110),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2CSV75E3JT58Y,Answer.rhetorical,Let's talk about fashion.,The runway shows in new york and milan and paris are merely excuses for the designers to market their goods so they can make millions,"That may be the motivation, but regardless of why they do it it's amazing to see the end result of such talent and artistry.",NA,"Wait a minute, are you saying that all these years I've been donating money to fashion shows I shouldn't have been taking the charitable deduction on my taxes?","That's true, but they don't pretend to be anything else, they're just showing off their goods like anyone else.","It's true that it's a marketing event, but I'm not sure it's that straightforward. Wouldn't they show off more practical garments that people would actually buy if that's really all that was going on?",,
3ACRLU860NZLIQ45RN2ZBTW718FBE2,3U38RRN8HQODTWRB1BHZ5D4T8AB4F5,Continue the Conversation Step 2,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, arts, entertainment, fashion, politics, sports",$0.25 ,Fri Jun 02 16:24:54 PDT 2017,1,BatchId:2824620;OriginalHitTemplateId:920937336;,3600,1296000,Fri Jun 09 16:24:54 PDT 2017,,,3AAJC4I4FHESXOR714YVIBCONI6ZJU,A1YI99FRUDX2M7,Approved,Fri Jun 02 16:52:45 PDT 2017,Fri Jun 02 16:55:06 PDT 2017,Sat Jun 17 16:55:06 PDT 2017,Sun Jun 11 21:16:59 PDT 2017,,,141,100% (9/9),100% (9/9),0% (0/0),37AIU3VBY8A1UOKUCHJYJDFA4SLRXU,A2XDTFD9AEM144,Answer.TalkMore,Let's talk about fashion.,Fashions change very often.,"I know, but there are somethings that I would consider to be timeless.  Like certain brands, watches, jewelry and the simple T shirt and jeans.",,Unfortunately my wallet doesn't allow me to keep up with all the changes.  I guess I'm out of style.,"Yes, they do.  I think designers are trying to get people to buy whole new wardrobes every season.","They do change very often.  It can be hard to keep up, both with the time and financial investment it takes.",,
