Utterance_ID,HITTypeID,HIT_ID
29,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
30,nan,nan
31,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
32,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
33,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
34,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,35YHTYFL1GOSXI27RFD5UNBEEXBVF1
35,nan,nan
36,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
37,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
38,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
39,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
40,nan,nan
41,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
42,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
43,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
44,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
45,nan,nan
46,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
47,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
48,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
49,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,337F8MIIMZY2614241TXIQOXVBQ04R
50,nan,nan
51,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3GS542CVJV82YEWFI2V0GTV4YBF59D
52,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3GS542CVJV82YEWFI2V0GTV4YBF59D
53,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3GS542CVJV82YEWFI2V0GTV4YBF59D
54,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3GS542CVJV82YEWFI2V0GTV4YBF59D
55,nan,nan
56,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
57,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
58,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
59,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
60,nan,nan
61,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
62,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
63,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
64,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
65,nan,nan
66,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
67,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
68,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
69,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3PR3LXCWSFKB0XGPO8EV8CMORAOX9E
70,nan,nan
71,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
72,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
73,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
74,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
75,nan,nan
76,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
77,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
78,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
79,3DCJP2JIFL1L8OOXAVMFN2RKXWE3CX,3XQ4XW3OD9XS4W9R9PTTZHXI6PD2SK
80,nan,nan
81,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3W0KKJIARRU52SY8KXTSIMJBBWS8KE
82,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3W0KKJIARRU52SY8KXTSIMJBBWS8KE
83,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3W0KKJIARRU52SY8KXTSIMJBBWS8KE
84,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3W0KKJIARRU52SY8KXTSIMJBBWS8KE
85,nan,nan
86,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
87,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
88,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
89,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
90,nan,nan
91,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
92,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
93,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
94,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
95,nan,nan
96,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
97,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
98,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
99,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3JVP4ZJHDPDWE83HPQV1CRYG0URI0Q
100,nan,nan
101,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
102,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
103,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
104,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
105,nan,nan
106,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
107,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
108,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
109,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,31D0ZWOD0AKH8QKJD23OVTAXNMMA0E
110,nan,nan
111,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
112,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
113,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
114,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
115,nan,nan
116,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
117,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
118,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
119,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,3PUOXASB57O05SG4PQ2G5X2ZZBN9ZQ
120,nan,nan
121,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
122,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
123,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
124,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
125,nan,nan
126,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
127,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
128,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
129,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
130,nan,nan
131,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
132,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
133,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
134,3WZIO7X3RN49V7YDA6XCONQ04OVAX3,30ZKOOGW2WRHFF519L7O9YT7SESA1H
135,nan,nan
136,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
137,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
138,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
139,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
140,nan,nan
141,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
142,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
143,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
144,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
145,nan,nan
146,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
147,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
148,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
149,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3PUV2Q8SV4PGQKQ5VSRF5BEMZUSBDH
150,nan,nan
151,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
152,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
153,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
154,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
155,nan,nan
156,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
157,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
158,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
159,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
160,nan,nan
161,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
162,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
163,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
164,3MCFX9UVS16IT4L2CL48SJ7LHWW681,309D674SHZ66LSKRVWW4L5W4EUGBCH
165,nan,nan
166,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
167,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
168,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
169,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
170,nan,nan
171,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
172,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
173,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
174,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
175,nan,nan
176,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
177,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
178,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
179,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3WA2XVDZEM2FCENAVWLR0DAFL5IE6S
180,nan,nan
181,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
182,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
183,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
184,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
185,nan,nan
186,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
187,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
188,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
189,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
190,nan,nan
191,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
192,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
193,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
194,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3P520RYKCHR0I6KIGDQRCPIIBY15UK
195,nan,nan
196,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
197,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
198,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
199,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
200,nan,nan
201,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
202,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
203,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
204,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
205,nan,nan
206,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
207,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
208,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
209,3MCFX9UVS16IT4L2CL48SJ7LHWW681,362E9TQF2HBTPCE23SK4XJLW7CSGI5
210,nan,nan
211,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
212,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
213,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
214,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
215,nan,nan
216,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
217,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
218,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
219,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
220,nan,nan
221,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
222,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
223,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
224,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3ACRLU860NZLIQ45RN2ZBTW7Z6TBEA
225,nan,nan
226,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
227,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
228,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
229,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
230,nan,nan
231,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
232,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
233,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
234,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
235,nan,nan
236,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
237,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
238,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
239,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3S8APUMBJX4DO441MYM5TBH7B78BFS
240,nan,nan
241,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
242,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
243,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
244,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
245,nan,nan
246,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
247,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
248,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
249,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
250,nan,nan
251,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
252,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
253,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
254,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3KTZHH2ONI00SGYB5968XZBF02Z8MX
255,nan,nan
256,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
257,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
258,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
259,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
260,nan,nan
261,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
262,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
263,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
264,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
265,nan,nan
266,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
267,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
268,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
269,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3T6SSHJUZFV7L3KXTGK7IVYCMPKIIZ
270,nan,nan
271,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
272,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
273,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
274,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
275,nan,nan
276,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
277,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
278,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
279,3MCFX9UVS16IT4L2CL48SJ7LHWW681,3TKXBROM5TV3GE43BY57UWDCZ49IJB
280,nan,nan
