HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.slot0,Answer.RelatedTopic,Answer.anecdote,Answer.comments,Answer.funny,Answer.opinion,Approve,Reject
3MIVREZQVHJB8WY46RAS4D4B5LIQKD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3OUYGIZWR8KRHEOFSNQN98VE8X4P07,A37JENVKZQ56U6,Submitted,Thu May 11 14:51:14 PDT 2017,Thu May 11 14:57:25 PDT 2017,Fri May 26 14:57:25 PDT 2017,,,,371,100% (3/3),100% (3/3),100% (3/3),Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Digital music also tends to pay artists a lot less, which is unfair since the costs of distribution are lower.",I remember being at a bookstore that had a digital preview of its music selection for the first time. I could use the headphones and hear almost a whole album before deciding to buy the physical copy.,5 minutes per HIT at 25 cents each is not enough to keep going even though I like this task and am a fast typer.,"Back in Ye Olde Days of someone wanted to steal music, they actually had to brave shop security and then there was one less album on the market. Now stealing music actually just makes MORE copies of the album.","It takes a lot longer to browse through physical albums than digital ones, and your choices are much more limited",x,
3MIVREZQVHJB8WY46RAS4D4B5LIQKD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3SKRO2GZ72DQDCCHBEPFRWSPI9IK15,A2K5CRACD4PL5U,Submitted,Wed May 10 23:22:49 PDT 2017,Wed May 10 23:27:28 PDT 2017,Thu May 25 23:27:28 PDT 2017,,,,279,0% (0/0),0% (0/0),0% (0/0),Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Yes but times have changed i can't even remember the last time I actually purchased a CD,I remember going to the CD store and getting all my favorite CDs,no,I bet our kids wouldn't even know what a Cd looked like lol,"I agree, I feel that you appreciate the artist more when you have the record or CD as opposed to the digital version",x,
36QZ6V1589Y1O8ITS93Z50SAP01SU1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,31EUONYN2WPPPFDUGK1X51GERJAOVV,A5N6QK76RTR7R,Submitted,Thu May 11 06:26:12 PDT 2017,Thu May 11 06:42:53 PDT 2017,Fri May 26 06:42:53 PDT 2017,,,,1001,100% (231/231),100% (231/231),100% (231/231),"I have a huge collection of CDs, and I really like being able to browse through them.",I like to collect vinyl myself.,You're never to young to collect and never to old to forget.,NA,I think I have more records than The Patriots by now.,That's really cool.,x,
36QZ6V1589Y1O8ITS93Z50SAP01SU1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,337RC3OW06OHJUAX3SL5DKCKWDZLV3,A3OWGVIP4VYSPV,Submitted,Wed May 10 23:48:17 PDT 2017,Wed May 10 23:49:44 PDT 2017,Thu May 25 23:49:44 PDT 2017,,,,87,100% (12/12),100% (12/12),100% (12/12),"I have a huge collection of CDs, and I really like being able to browse through them.",With digital music your drive can get messed up and then it's all gone.,I have over 500 CDs myself and it can be hard to store them.,,I bet aliens will find our CDs some day and think they're toys or something.,I definitely like having the CD instead of just digital music.,x,
36QZ6V1589Y1O8ITS93Z50SAP01SU1,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3QHK8ZVMIN42AGCRYBU5C8IDTL4LBI,A2KG59JUICJLP0,Submitted,Thu May 11 03:55:14 PDT 2017,Thu May 11 04:08:51 PDT 2017,Fri May 26 04:08:51 PDT 2017,,,,817,100% (22/22),100% (22/22),100% (22/22),"I have a huge collection of CDs, and I really like being able to browse through them.","I've been backing all my music up to my computer, but I'm running out of space on the hard drive.","When I viisted France, everyone there had huge CD collections, they're more common there than MP",,,"CD's are going to be obsolete soon, they're already vintage.",x,
3HA5ODM5KAD11N7TXZD41MUT37ASVQ,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3634BBTX0PGQXWG1IAJO3IH6RFFIFW,A8RDXT4ZILHQT,Submitted,Wed May 10 23:39:51 PDT 2017,Wed May 10 23:41:05 PDT 2017,Thu May 25 23:41:05 PDT 2017,,,,74,100% (10/10),100% (10/10),100% (10/10),"It's hard to find new music, new bands or singers that you might like.",I've been interested in music theory for a while.,"You know, I used to work in a band.",,Why do we need any more good music if we've got Nickleback.,I find a lot of the bands I see boring.,x,
3HA5ODM5KAD11N7TXZD41MUT37ASVQ,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,379J5II41P20HJOB82WVDGOYWJ4EL0,A2Z6NL0CTXY0ZB,Submitted,Thu May 11 06:36:50 PDT 2017,Thu May 11 06:53:02 PDT 2017,Fri May 26 06:53:02 PDT 2017,,,,972,100% (4/4),100% (4/4),100% (4/4),"It's hard to find new music, new bands or singers that you might like.",There's not much to like anyway. It all sounds the same.,When I was younger my father would play his old big band and jazz records. We would enjoy listening to that all evening.,,I miss the days when singers actually had talent. Now all they have to do is let a computer make them sound like super stars. Steve Urkel could be the next Luther Vandross with that thing.,"I know, right? Every song is either a cover of an older song or lacking any substance. I just listen to music from the 60s to late 90s myself.",x,
3HA5ODM5KAD11N7TXZD41MUT37ASVQ,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3EICBYG645IFPVGX9QEN7DB37G4JCO,A2YE2I9DYV9OKW,Submitted,Wed May 10 22:56:20 PDT 2017,Wed May 10 23:07:38 PDT 2017,Thu May 25 23:07:38 PDT 2017,,,,678,100% (29/29),100% (29/29),100% (27/27),"It's hard to find new music, new bands or singers that you might like.","It's hard to find new books, too.","I tried one of those internet radio things where you give it some songs you like and it builds a playlist, but after a few songs I realized I had more or less asked it to create the equivalent of a ""Hits of the 80s"" compilation album.",NA,If you wait long enough maybe the old stuff you like will seem cool and retro.,"99% of the stuff I listened to today are bands I liked in college or earlier, I just never come across anything new anymore.",x,
3X0EMNLXEPA4OVR15I9A6HPIGN3VPD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,32KTQ2V7RE13S5FF03HOLF2C5SEM92,AMUV60QYHNUR3,Submitted,Thu May 11 09:28:47 PDT 2017,Thu May 11 09:37:49 PDT 2017,Fri May 26 09:37:49 PDT 2017,,,,542,100% (9/9),100% (9/9),100% (9/9),Its hard to keep track of your digital music collection.,Have you come up with an app or a good way you keep track of the digital music you own.,"I don't really try to keep track, I just hit random and listen to whatever comes up.",,"I bought music that had the same title but was VERY different, then wondered what I was listening to and where it had come from.","It is pretty hard to remember what to keep track of, so you don't re-buy music, if you don't have a system.",x,
3X0EMNLXEPA4OVR15I9A6HPIGN3VPD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3EWIJTFFVPTNKNZPJ9ACFWWATKR0E9,AU6ZURVHX4KPT,Submitted,Thu May 11 00:36:38 PDT 2017,Thu May 11 00:49:12 PDT 2017,Fri May 26 00:49:12 PDT 2017,,,,754,100% (4/4),100% (4/4),100% (4/4),Its hard to keep track of your digital music collection.,It's the same way with my book collection; I never know if I have a book or where it is on my shelves.,"I had a situation that made it even worse. My daughter kept the official versions of her music on my computer and I kept mine on there as well. It caused a lot of confusion. Even though my daughter would have a song assigned to her iPod, I couldn't add it to my iPod unless I bought it again, but I had no easy way of knowing which of us owned the rights to each song.",No,Pretty soon we'll need to regress back to vinyl just to make it easier to keep up with which albums we own and where we keep them. My grandpa's Victrola will be back in style.,I agree. I really think there needs to be a better source of indexing all your music between all your different devices so you can see what you have and where you have it. Maybe a good app is in order here.,x,
3X0EMNLXEPA4OVR15I9A6HPIGN3VPD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3SKEMFQBZ4R8OCW2AZYU66FXWHQK8V,A5N6QK76RTR7R,Submitted,Thu May 11 09:04:35 PDT 2017,Thu May 11 09:49:48 PDT 2017,Fri May 26 09:49:48 PDT 2017,,,,2713,100% (231/231),100% (231/231),100% (231/231),Its hard to keep track of your digital music collection.,I think the world is too inundated with choices these days in general.,They say the unobserved life is not worth knowing.,NA,But hey that's pretty observant of me to say that isn't it?,There are so many kinds of music these days.,x,
3I6NF2WGIGHHDOJNW81A8AHR28F5GD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,31EUONYN2WPPPFDUGK1X51GERJGOV1,A3QZ0X5GCZ3H97,Submitted,Thu May 11 07:15:48 PDT 2017,Thu May 11 07:20:50 PDT 2017,Fri May 26 07:20:50 PDT 2017,,,,302,100% (10/10),100% (10/10),100% (10/10),Some people still like to play vinyl records.,I think vinyl records could make a comeback.,My grandma used to play music on vinyl records on Saturday mornings.,,"Even if a lot of people don't listen to vinyls anymore, the record scratch sound will remain timeless.",Music sounded better on vinyl records than CDs.,x,
3I6NF2WGIGHHDOJNW81A8AHR28F5GD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3KAKFY4PGVOVHK08YFIM29S9OOYI39,A2PZH16YCBHDYY,Submitted,Wed May 10 22:38:52 PDT 2017,Wed May 10 22:51:31 PDT 2017,Thu May 25 22:51:31 PDT 2017,,,,759,100% (5/5),100% (5/5),100% (5/5),Some people still like to play vinyl records.,It's crazy how much the way people listen to music has changed.,I've never owned any vinyl records but I have a friend who collects them.,No,A lot of kids have probably never even seen a vinyl record. They might as well be from the stone age according to them.,Some people say vinyl records sound better than digital but I don't hear any difference.,x,
3I6NF2WGIGHHDOJNW81A8AHR28F5GD,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:19 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:19 PDT 2017,,,3LEIZ60CDKL3RCEYFS7ITHYLKVMZ9K,A376F1W1MTY3J,Submitted,Thu May 11 05:46:33 PDT 2017,Thu May 11 05:48:33 PDT 2017,Fri May 26 05:48:33 PDT 2017,,,,120,0% (0/0),0% (0/0),0% (0/0),Some people still like to play vinyl records.,Vinyl records last a long time if well cared for.,I remember as a child my mother pulling out her collections from when she was young.  We would turn them up and rock out to old music while cleaning the house.,,"Just think, if you don't like a band anymore, you could just go on pinterest and find some artsy thing to do with the record. You can never have too many vinyl bowls, right?",I think they sound better than other forms of music media.,x,
31GN6YMHLPDEGC7YN9I0NOD7AGCSW0,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:20 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:20 PDT 2017,,,3137ONMDKHRKVRAAXBZF0OJQ028GEM,A22NOME8P61FM4,Submitted,Thu May 11 05:40:12 PDT 2017,Thu May 11 06:22:48 PDT 2017,Fri May 26 06:22:48 PDT 2017,,,,2556,100% (21/21),100% (21/21),100% (21/21),I sometimes wonder whether all this texting and snapchatting and facebook actually makes people less social.,"A lot of people say this but I honestly disagree, if it wasn't for social media I would never talk to anyone.",I believe people who say this don't really understand the point of social media.,na,"Yeah because social media makes people less social, that makes sense.","I disagree, I believe it helps people stay connected.",x,
31GN6YMHLPDEGC7YN9I0NOD7AGCSW0,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:20 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:20 PDT 2017,,,37U1UTWH9W8UBG9X0J7R7I1BR81R8A,A3OWGVIP4VYSPV,Submitted,Thu May 11 08:05:26 PDT 2017,Thu May 11 08:06:50 PDT 2017,Fri May 26 08:06:50 PDT 2017,,,,84,100% (12/12),100% (12/12),100% (12/12),I sometimes wonder whether all this texting and snapchatting and facebook actually makes people less social.,I prefer to talk face to face but others only want to text and such.,I actually was going to date this guy but he wouldn't call me. He only wanted to text.,no,I hate texting because you can't hear when someone is being a smart aleck.,It seems to keep people from interacting face to face.,x,
31GN6YMHLPDEGC7YN9I0NOD7AGCSW0,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:20 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:20 PDT 2017,,,3V5Q80FXIYDR6ZM69CXUFTLSZUS32E,A2C27YTQSQ1GXS,Submitted,Thu May 11 07:24:41 PDT 2017,Thu May 11 07:29:07 PDT 2017,Fri May 26 07:29:07 PDT 2017,,,,266,100% (5/5),100% (5/5),100% (5/5),I sometimes wonder whether all this texting and snapchatting and facebook actually makes people less social.,Me too. Instead of going to a bar and meeting people. You can meet people from the comfort of your own home,I have a lot of people on my Facebook page that I don't even talk to. I had to delete a lot of friends,,Lol yes. No it makes them lazy. Just think why go outside. When you could just talk to someone from the comfort of your house. People shall never go outside again,Actually social networking sites do make people more social. Just look at all the celebrities that get a huge amount of followers,x,
31ANT7FQN8NVDKEYGEJSTATSH8S5HC,3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,Create Interesting Dialogue,Produce utterances that dive into a topic in different ways,"dialog, conversational agents, movies, books,arts,entertainment,fashion,politics,sports",$0.25,Wed May 10 22:28:20 PDT 2017,3,BatchId:2798901;OriginalHitTemplateId:920937336;,3600,1296000,Wed May 17 22:28:20 PDT 2017,,,3E4GGUZ1T9DX2XUDUIPTWF2UAGZ2K9,A5N6QK76RTR7R,Submitted,Thu May 11 05:29:54 PDT 2017,Thu May 11 05:51:33 PDT 2017,Fri May 26 05:51:33 PDT 2017,,,,1299,100% (231/231),100% (231/231),100% (231/231),I got myself a brand-new phone the other day. The Google Pixel. Have you seen it?,I really have been thinking about going to Apple.,I feel like technology is similar to friendships: it tends to not last long and is always changing.,NA,My technology is about as outdated at the moment as Facebook.,No but I have respect for it from what I've heard.,x,
