HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.HITTYPE_ID_level1,Input.WORKER_ID_level1,Input.Dialogueacts_level1,Input.slot0,Input.slot1,Answer.change,Answer.comments,Answer.continuation,Answer.elaboration,Answer.joking_sarcastic,Approve,Reject
3IKDQS3DQELG80YX16OL7S0HA3XCIR,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3P4MQ7TPPYYQX7QF7Y5BY5M8L7HBBC,A1R3MNDWBBDZ6L,Approved,Fri May 19 07:09:17 PDT 2017,Fri May 19 07:10:07 PDT 2017,Sat Jun 03 07:10:07 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,50,100% (179/179),100% (179/179),100% (10/10),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.rhetorical,I love walking along the beach.,"Who doesn't love walking along the beach? If a person lives near a beach, why would he or she want to do anything other than walk along a quiet, refreshing, beautiful beach?","Of course, walking on the sidewalk is good too.",no,Yeah! I'd walk on the beach all the time if I lived by one.,"Yeah, beaches are so relaxing. It's so nice to be near the pleasant, relaxing ocean.","Yeah, who doesn't love getting sand all over them?",,
3IKDQS3DQELG80YX16OL7S0HA3XCIR,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3XXU1SWE8NHKUAID348QJD6JCOMA0N,A3EQR9C0L23O6E,Approved,Fri May 19 11:02:06 PDT 2017,Fri May 19 11:21:10 PDT 2017,Sat Jun 03 11:21:10 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,1144,100% (23/23),100% (23/23),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1SZ98O1SZSBCP,Answer.rhetorical,I love walking along the beach.,"Who doesn't love walking along the beach? If a person lives near a beach, why would he or she want to do anything other than walk along a quiet, refreshing, beautiful beach?",I also really enjoy a walk in a forest.,,You can gather seashells or enjoy the soothing sound of the waves.,"The surf feels amazing on bare feet, and can be very relaxing.",Of course the smell of dead fish and dropped cigarette butts is just part of the charm.,,
39O0SQZVJNSNPI6K0CAJ5Y9UWOP7RX,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3C6FJU71TRF16ESWHH0QB6CXV17UYS,A16PO1YMZ8IBQA,Approved,Fri May 19 07:45:01 PDT 2017,Fri May 19 07:48:07 PDT 2017,Sat Jun 03 07:48:07 PDT 2017,Sun May 21 20:31:00 PDT 2017,,,186,100% (13/13),100% (13/13),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.TalkMore,I love walking along the beach.,Beaches are sandy paths to happiness.,"On a hot day along the beach, ice cream also makes me happy. It's a perfect combination.",,What all do you do along the beach?,"I think it depends on the type of sand on the beach. The finer sand makes me happier, where the course sand only makes me normal happy.",And pavement is just a regular path to normality.,,
39O0SQZVJNSNPI6K0CAJ5Y9UWOP7RX,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3FTF2T8WLS4ZXH9T45NBUD437BS9WI,A3EQR9C0L23O6E,Approved,Fri May 19 11:08:25 PDT 2017,Fri May 19 11:50:18 PDT 2017,Sat Jun 03 11:50:18 PDT 2017,Sun May 21 20:31:00 PDT 2017,,,2513,100% (23/23),100% (23/23),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.TalkMore,I love walking along the beach.,Beaches are sandy paths to happiness.,I'd like to spend more time at the lake though.,,There is so much to enjoy at the beach.,I like watching little crabs the most.,"You do have to be careful and not catch crabs, though.",,
39O0SQZVJNSNPI6K0CAJ5Y9UWOP7RX,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3WEV0KO0ONEITQ51WGICJKK8SGFSD1,A1R3MNDWBBDZ6L,Approved,Fri May 19 07:19:55 PDT 2017,Fri May 19 07:20:52 PDT 2017,Sat Jun 03 07:20:52 PDT 2017,Sun May 21 20:31:00 PDT 2017,,,57,100% (179/179),100% (179/179),100% (10/10),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.TalkMore,I love walking along the beach.,Beaches are sandy paths to happiness.,Snowy paths to happiness are fun too!,no,"Yeah, that's true! Let's walk on the beach.","Yeah, that's a good way to look at them. They're a nice way to relax on a cool, refreshing, peaceful walk.","Yeah, when I think ""happiness"" I think sand.",,
3W31J70BASH7EVOL199XK8FU27MCK2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,36NEMU28XGZE41SNTERGZZAN77TMWI,A2YE2I9DYV9OKW,Approved,Fri May 19 06:16:36 PDT 2017,Fri May 19 06:21:20 PDT 2017,Sat Jun 03 06:21:20 PDT 2017,Sun May 21 20:31:21 PDT 2017,,,284,100% (107/107),100% (105/105),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.negative,I love walking along the beach.,"Oh yeah, nothing like getting sand everywhere to brighten up my day.",I find it kind of fun to walk on any unusual surfaces. When it snows I like the crunch of it under my feet.,NA,If does brighten up my day to sea and hear the waves.,There's something appealing about feeling like you're between between the ocean and the land when you're at the beach.,"Who are you, Anakin Skywalker?",,
3W31J70BASH7EVOL199XK8FU27MCK2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3IOEN3P9S85JEXRS9AVEHDN7LUF16Y,A1R3MNDWBBDZ6L,Approved,Fri May 19 07:08:01 PDT 2017,Fri May 19 07:09:17 PDT 2017,Sat Jun 03 07:09:17 PDT 2017,Sun May 21 20:31:21 PDT 2017,,,76,100% (179/179),100% (179/179),100% (10/10),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.negative,I love walking along the beach.,"Oh yeah, nothing like getting sand everywhere to brighten up my day.",We could always walk on the boardwalk.,no,"I like sand, though! It's soft and gets everywhere!","Oh yeah, I hate sand. It's coarse, and rough, and gets everywhere.","Oh yeah, I love vacuuming sand out of my car!",,
3W31J70BASH7EVOL199XK8FU27MCK2,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3X08E93BHW4ELJSPFG7VC9EOT5T66Z,A2C27YTQSQ1GXS,Approved,Fri May 19 06:52:00 PDT 2017,Fri May 19 06:54:04 PDT 2017,Sat Jun 03 06:54:04 PDT 2017,Sun May 21 20:31:21 PDT 2017,,,124,100% (24/24),100% (24/24),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.negative,I love walking along the beach.,"Oh yeah, nothing like getting sand everywhere to brighten up my day.",Is it starting to rain. Talk about putting a damp on my parade,Na,I love the feel of sand on my feet,I took my son once to a beach. He built a sand castle and loved it,Im going to come up with a way you don't get sand in your feet,,
3J94SKDEKIAE149WUI022PEUQH35DA,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,32AT8R96GMV4ASGNIB81TKOWEGBSUC,A1R3MNDWBBDZ6L,Approved,Fri May 19 07:46:20 PDT 2017,Fri May 19 07:47:18 PDT 2017,Sat Jun 03 07:47:18 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,58,100% (179/179),100% (179/179),100% (10/10),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.positive,I love walking along the beach.,"Me too! I'd love to live in the desert, which is basically just a GIANT beach!","The icy tundra is basically a desert too, since it doesn't rain there.",no,Whoa. That's true! Let's go to the desert!,That's not true at all! Beaches have water everywhere too. Deserts are defined by their utter LACK of water!,"Oh yeah, nothing like a relaxing walk through the desert!",,
3J94SKDEKIAE149WUI022PEUQH35DA,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3C8HJ7UOP8GIYWXS41BNY345O98ZMW,A3GNQDFPZALU92,Approved,Fri May 19 07:54:00 PDT 2017,Fri May 19 08:13:27 PDT 2017,Sat Jun 03 08:13:27 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,1167,100% (17/17),100% (15/15),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.positive,I love walking along the beach.,"Me too! I'd love to live in the desert, which is basically just a GIANT beach!","Or you could also say the beach is a miniature desert, I suppose. Either way, I'm ready to go for a swim, I think. How about you? Want to go in the water?",NA,"That's true. And you'd definitely get a lot of sun. I've always been drawn to desert climates. I think they're so much nicer than the humidity or the rain you get back where we're from, you know?","Well, kind of. But a beach is called a beach because it's surrounding water. I don't think a desert is technically a beach.","Except for the fact that there's no ocean anywhere nearby. But who cares? If you get too hot sitting on the sand, you can just go swimming in the ... sand, I guess. What a crappy beach, when you think about it.",,
3J94SKDEKIAE149WUI022PEUQH35DA,30MUBYSPBOO7B3L0SN4EJTC4ULRSKW,Continue the Conversation Step 1,Imagine continuing the conversation in four (4) different ways,"dialog, conversational agents, movies, books, life, arts, entertainment, fashion, politics, sports",$0.25,Thu May 18 21:24:20 PDT 2017,3,BatchId:2808472;OriginalHitTemplateId:920937336;,3600,1296000,Thu May 25 21:24:20 PDT 2017,,,3N4BPTXIO9E6M93FD2ZZ2YXMXKAKUV,A1NIKHUA79SWGD,Approved,Fri May 19 01:34:06 PDT 2017,Fri May 19 01:49:50 PDT 2017,Sat Jun 03 01:49:50 PDT 2017,Sun May 21 20:31:05 PDT 2017,,,944,100% (21/21),100% (21/21),0% (0/0),3FSCUW4D3155ZMY8XWDGAF3EBF2SSB,A1R3MNDWBBDZ6L,Answer.positive,I love walking along the beach.,"Me too! I'd love to live in the desert, which is basically just a GIANT beach!","If I didn't live on the beach or in a desert, I might like to live in the sky. Actually, I've never even been on a plane. Have you ever flown anywhere before?",,"If you could find a little oasis, build a house there, you'd be set. No one would ever bother you, and you'd have plenty of water to drink.","Okay, so it's a little different, but I still think living in a desert would be nice. The days would be hot, but the nights would cool. You could have cookouts during the eve, and ride horses during the day. Go on hikes, and just have neat adventures every day.","Except instead of crabs you have scorpions! But hey, both have pinchers! And instead of sea weed you have rattlesnakes! But they're both wiggly! And instead of sand everywhere... Well, no, that's the same. Everything else sucks though.",,
